codice,anno,lunghezza,duso,dtipologia2,nomequart,geo_point_2d,zona_fiu,length,tipologia2,geometry
1987,Precedente 31/12/2021,252.0,Ciclabile,sede propria,San Donato - San Vitale,"{ ""lon"": 11.392373722616538, ""lat"": 44.51577867182656 }",SAN DONATO NUOVO,252.10526009638323,Ciclabile,"LINESTRING (11.3909770360401 44.5153044604728, 11.3922263739568 44.5159284472902, 11.3924905001219 44.515971967302, 11.3927108308348 44.5159652128929, 11.3928938466989 44.5159208464636, 11.3931069976267 44.5158843796855, 11.3933938179571 44.5158996922052, 11.3936498043655 44.5158900548414, 11.3938437074959 44.5158571755198)"
841,Precedente 31/12/2021,73.0,Ciclabile,sede propria,Porto - Saragozza,"{ ""lon"": 11.31064392611902, ""lat"": 44.507634979604205 }",SAFFI,8.2010197324e-05,Ciclabile,"LINESTRING (11.310643926568373 44.50763497942319, 11.310643925669666 44.50763497978523)"
1021,Precedente 31/12/2021,169.0,Ciclabile,sede propria,Savena,"{ ""lon"": 11.3754087235884, ""lat"": 44.471170434875503 }",VIA TOSCANA - S. RUFFILLO - MONTE DONATO,0.000189497728915,Ciclabile,"LINESTRING (11.3754087240741 44.471170435654, 11.3754087231027 44.471170434097)"
1021,Precedente 31/12/2021,169.0,Ciclabile,sede propria,Santo Stefano,"{ ""lon"": 11.375408723818349, ""lat"": 44.471170435244076 }",MURRI,9.9782710985e-05,Ciclabile,"LINESTRING (11.3754087240741 44.471170435654, 11.375408723562597 44.47117043483414)"
1021,Precedente 31/12/2021,169.0,Ciclabile,sede propria,Santo Stefano,"{ ""lon"": 11.375408723714271, ""lat"": 44.471170435077255 }",MURRI,5.9175083386e-05,Ciclabile,"LINESTRING (11.375408723865945 44.47117043532036, 11.375408723562597 44.47117043483414)"
1547,Precedente 31/12/2021,113.0,Pedonale-Ciclabile,ciclabile contigua al pedonale,San Donato - San Vitale,"{ ""lon"": 11.356414911794642, ""lat"": 44.509709226192477 }",SAN DONATO VECCHIO,0.061028273657062,Pedonale-Ciclabile,"LINESTRING (11.35641455182429 44.50970932134747, 11.356415271765 44.5097091310375)"
1544,Precedente 31/12/2021,109.0,Ciclabile,sede propria,San Donato - San Vitale,"{ ""lon"": 11.359803717306239, ""lat"": 44.508377125468193 }",SAN DONATO VECCHIO,108.76604617877307,Ciclabile,"LINESTRING (11.3593845132936 44.5085761901237, 11.3594756914754 44.5085012585586, 11.3595318514555 44.5084586950784, 11.3596095007839 44.5084363938726, 11.3596836162826 44.5084289540601, 11.3597462945233 44.5084454111103, 11.3598262123594 44.5084792596921, 11.3599006860744 44.5084806853746, 11.359970073866 44.5084585540356, 11.360026352697 44.5084189464867, 11.3600541935646 44.5083917546558, 11.3600561750764 44.508338475734, 11.3600331330122 44.5082797961233, 11.3599613575712 44.5082428221912, 11.3598380686024 44.5081786336748, 11.3599150577342 44.5080848920207)"
2009,Precedente 31/12/2021,72.0,Percorso naturalistico,pavimentato,Savena,"{ ""lon"": 11.376324854451449, ""lat"": 44.464872329872847 }",LUNGO SAVENA,71.77101550508596,Percorso naturalistico,"LINESTRING (11.3767634985248 44.4647973968944, 11.3758862103781 44.4649472628513)"
1811,Precedente 31/12/2021,77.0,Ciclabile,sede propria,Santo Stefano,"{ ""lon"": 11.357867593127898, ""lat"": 44.487382727657547 }",MURRI,7.59249755860952,Ciclabile,"LINESTRING (11.3578203340883 44.4873779729153, 11.3579148521675 44.4873874823998)"
2045,Precedente 31/12/2021,176.0,Ciclabile,sede propria,Savena,"{ ""lon"": 11.392435226542972, ""lat"": 44.484343456284179 }",FOSSOLO - DUE MADONNE,176.38765586806613,Ciclabile,"LINESTRING (11.3919071610889 44.4847712214583, 11.3927832317342 44.4844809601676, 11.3922588658071 44.4836671033622)"
2186,Precedente 31/12/2021,655.0,Itinerario ciclabile,corsia ciclabile su strada,Borgo Panigale - Reno,"{ ""lon"": 11.301745447652902, ""lat"": 44.491009514144068 }",BARCA,1.656788071336349,Itinerario ciclabile,"LINESTRING (11.3017532432291 44.491014457485, 11.301737652076703 44.491004570803135)"
1856,Precedente 31/12/2021,218.0,Ciclabile,sede propria,Navile,"{ ""lon"": 11.335259981669092, ""lat"": 44.527433521207513 }",BEVERARA,218.33672230866117,Ciclabile,"LINESTRING (11.3341972122004 44.5277959371087, 11.3341909773092 44.5277384524218, 11.3341985825659 44.5276834854878, 11.3342267573154 44.5276519736636, 11.3350577647737 44.5273787100066, 11.3353258579865 44.5273590151047, 11.3354899043366 44.5273387036233, 11.3356704687358 44.5272899303553, 11.3358352898572 44.5272400763133, 11.3359304193841 44.5272141790174, 11.3359820273467 44.5272285532429, 11.335996771244 44.5272535422854, 11.3360057449331 44.527281463852, 11.3360189794578 44.5273177286981, 11.3360360811235 44.5273524872798, 11.3360770548085 44.5273951643542, 11.3361356777744 44.5274374683821, 11.3361799516176 44.5274646243089, 11.3362552817797 44.5275318531934, 11.3362712724274 44.5275876930141, 11.3362749875549 44.5276311519157)"
2081,Precedente 31/12/2021,1084.0,Itinerario ciclabile,corsia ciclabile su strada,Navile,"{ ""lon"": 11.355697985705451, ""lat"": 44.536601649080055 }",CORTICELLA - DOZZA,102.09705471465978,Itinerario ciclabile,"LINESTRING (11.355430978275 44.536183837579, 11.3559649931359 44.5370194605811)"
1860,Precedente 31/12/2021,860.0,Itinerario ciclabile,corsia ciclabile su strada,Santo Stefano,"{ ""lon"": 11.3583494244573, ""lat"": 44.483231357008805 }",MURRI,70.31477458909421,Itinerario ciclabile,"LINESTRING (11.3580303089653 44.4834502366837, 11.3586685399493 44.4830124773339)"
1165,Precedente 31/12/2021,101.0,Ciclabile,sede propria,Borgo Panigale - Reno,"{ ""lon"": 11.308632215543595, ""lat"": 44.498222953922813 }",BARCA,101.48634799446168,Ciclabile,"LINESTRING (11.3092688960187 44.4982026279923, 11.308834830552 44.4982153609262, 11.3082039672498 44.4982340515208, 11.3079967461386 44.4982593369298)"
980,Precedente 31/12/2021,128.0,Ciclabile,sede propria,Santo Stefano,"{ ""lon"": 11.362740408678162, ""lat"": 44.488620861507869 }",MURRI,117.20251961724588,Ciclabile,"LINESTRING (11.3630324612071 44.4891042706628, 11.3624889021451 44.4882054025067, 11.3624537822726 44.4881344752063)"
1445,Precedente 31/12/2021,106.0,Pedonale-Ciclabile,area pedonale,Santo Stefano,"{ ""lon"": 11.342610003041951, ""lat"": 44.494055463855901 }",GALVANI,14.997593171514234,Pedonale-Ciclabile,"LINESTRING (11.3425425398463 44.4941026037005, 11.342677466237602 44.4940083240113)"
2188,Precedente 31/12/2021,275.0,Itinerario ciclabile,corsia ciclabile su strada,Porto - Saragozza,"{ ""lon"": 11.342348617742868, ""lat"": 44.499065749772818 }",MARCONI,1.028614846504134,Itinerario ciclabile,"LINESTRING (11.342350980508137 44.499070058095235, 11.3423462549776 44.4990614414504)"
2039,Precedente 31/12/2021,658.0,Ciclabile,corsia ciclabile su strada,Navile,"{ ""lon"": 11.334747313307378, ""lat"": 44.508443730830543 }",BOLOGNINA,425.13809037971794,Ciclabile,"LINESTRING (11.3373746036592 44.5080910020806, 11.335818542531 44.508297062469, 11.3325144613239 44.5087471202866, 11.332120188125323 44.50879764313978)"
2039,Precedente 31/12/2021,658.0,Ciclabile,corsia ciclabile su strada,Navile,"{ ""lon"": 11.332120187973116, ""lat"": 44.508797643159284 }",BOLOGNINA,2.4591476649e-05,Ciclabile,"LINESTRING (11.332120188125323 44.50879764313978, 11.332120187820909 44.50879764317879)"
